model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
RandomForest,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,55.53401051587302,67.87620987959161,-0.2791716854083415,36.73565153638641,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,56.38625869750977,68.00534088068414,-0.28404343191614223,35.355407927903,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,36,9,27,10,10,
Lasso,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376,36,9,27,10,10,
ElasticNet,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,52.49259910894784,64.81770775443198,-0.16648996402770688,34.156845119765336,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,57.169,68.86350085495218,-0.3166546121404117,37.62671647101878,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,43.725830078125,55.44794135639002,0.1463801158173894,26.27263301620563,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,52.62088932494272,64.9129037166272,-0.1699188627905548,34.25694141151942,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,55.432,67.07421382319737,-0.24912198440176692,36.2591416445843,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,44.055345916748045,55.410576009061586,0.1475302056379113,27.0530249900614,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
DummyRegressor,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,43.936611152513514,73.08826331400984,-0.48316324676972067,26.813731969468456,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,35.14451421220083,41.32478153914354,0.5258510395792146,22.01390348426838,36,9,27,10,10,
ElasticNet,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,24.411414565374233,34.965841246187736,0.6605454511483211,15.619579459355403,36,9,27,10,10,
SVR,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,52.57572490658811,64.88425175782739,-0.16888630786467607,34.23830624424381,36,9,27,10,10,
RandomForest,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,55.391662103174596,67.99992075257354,-0.28383875968122796,36.90514286041752,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,50.33598327636719,62.977276894109366,-0.10118788818508007,30.869715257346314,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,feature_scaling,FUSION_A_ST_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482,36,9,27,10,10,
Lasso,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293,36,9,27,10,10,
