model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
MLP,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
DummyRegressor,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,41.14998337956623,66.69678283939967,-0.2351037543836474,25.40060708346222,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,33.92134167935584,44.90330974005927,0.4401774651311742,20.07101202046119,36,9,27,10,10,
ElasticNet,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,24.463259741025645,35.731537839028306,0.6455156339546402,15.630714309889374,36,9,27,10,10,
SVR,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,52.54695823296745,64.82095584557366,-0.16660687530959395,34.229845065738154,36,9,27,10,10,
RandomForest,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,53.922260119047635,67.35665778400036,-0.2596640321157391,35.98392607744338,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,52.543070220947264,63.85873369682055,-0.13222900065287257,32.105986247736276,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,235.74568801936502,675.9909973355792,-125.87483611270015,89.12038742713409,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,35.43926288323183,59.38893603205222,0.020724792244976364,21.06174467128759,36,9,27,10,10,
Lasso,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,41.71583363328166,55.96472412761667,0.13039424640092867,24.648349131104492,36,9,27,10,10,
ElasticNet,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,29.078419297100332,37.071312458929285,0.6184340663889547,19.731430554770572,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,60.78063621647957,70.09006651948154,-0.363975640520241,40.203667374757565,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,54.12863783022533,67.05454396785694,-0.24838946903738557,36.15406891613999,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,43.56434020996094,59.68221540255302,0.011029034881753774,27.391128784546094,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,235.74568801936502,675.9909973355792,-125.87483611270015,89.12038742713409,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,35.43926288323183,59.38893603205222,0.020724792244976364,21.06174467128759,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,41.71583363328166,55.96472412761667,0.13039424640092867,24.648349131104492,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,29.078419297100332,37.071312458929285,0.6184340663889547,19.731430554770572,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,59.911664700652146,69.93036904805373,-0.35776719128991985,39.62841917449199,36,9,27,10,10,
